level,layer,auroc,lo,hi,null_mean,null_p95
L0,12,1.0,0.9999999999999999,1.0,0.48853125,0.5944999999999999
L1,12,1.0,0.9999999999999999,1.0,0.5068125,0.5840312500000001
L2,12,1.0,0.9999999999999999,1.0,0.452625,0.5499062500000002
L3,12,1.0,0.9999999999999999,1.0,0.4755625,0.6095312500000001
