level,layer,auroc,lo,hi,null_mean,null_p95
L0,12,1.0,0.9999999999999999,1.0,0.484875,0.5834687500000001
L1,12,1.0,0.9999999999999999,1.0,0.515375,0.6161875
L2,12,1.0,0.9999999999999999,1.0,0.44684374999999993,0.54584375
L3,12,1.0,0.9999999999999999,1.0,0.47196875,0.6168125
